時間,首次離線時間,IP 位址,設備 ID,設備類型,位置,離線時長(秒)
2026-06-17 16:54:06,2026-06-17 16:04:15,172.21.76.73,3435-S03,EQP,K11-9F 區網(76),2991
2026-06-17 16:54:06,2026-06-17 16:04:25,172.21.54.55,2800-B15,EQP,K11-6F 區網(54),2981
2026-06-17 16:54:06,2026-06-17 16:04:25,172.21.54.57,2800-B17,EQP,K11-6F 區網(54),2981
2026-06-17 16:54:06,2026-06-17 16:04:25,172.21.54.75,2800-C15,EQP,K11-6F 區網(54),2981
2026-06-17 16:54:06,2026-06-17 16:04:25,172.21.54.84,2800-C24,EQP,K11-6F 區網(54),2981
2026-06-17 16:54:06,2026-06-17 16:04:25,172.21.54.58,2800-B18,EQP,K11-6F 區網(54),2981
2026-06-17 16:54:06,2026-06-17 16:04:25,172.21.54.59,2800-B19,EQP,K11-6F 區網(54),2981
2026-06-17 16:54:06,2026-06-17 16:04:25,172.21.54.60,2800-B20,EQP,K11-6F 區網(54),2981
2026-06-17 16:54:06,2026-06-17 16:04:25,172.21.54.61,2800-B21,EQP,K11-6F 區網(54),2981
2026-06-17 16:54:06,2026-06-17 16:04:25,172.21.54.44,2800-J04,EQP,K11-6F 區網(54),2981
2026-06-17 16:54:06,2026-06-17 16:04:25,172.21.54.97,2800-D07,EQP,K11-6F 區網(54),2981
2026-06-17 16:54:06,2026-06-17 16:04:23,172.22.65.181,2730-B71,EQP,K21-9F 區網(65),2983
2026-06-17 16:54:06,2026-06-17 16:04:23,172.22.65.145,2730-B35,EQP,K21-9F 區網(65),2983
2026-06-17 16:54:06,2026-06-17 16:04:23,172.22.65.153,2730-B43,EQP,K21-9F 區網(65),2983
2026-06-17 16:54:06,2026-06-17 16:04:25,172.21.54.99,2800-D09,EQP,K11-6F 區網(54),2981
2026-06-17 16:54:06,2026-06-17 16:04:25,172.21.54.83,2800-C23,EQP,K11-6F 區網(54),2981
2026-06-17 16:54:06,2026-06-17 16:04:25,172.21.54.82,2800-C22,EQP,K11-6F 區網(54),2981
2026-06-17 16:54:06,2026-06-17 16:04:25,172.21.54.81,2800-C21,EQP,K11-6F 區網(54),2981
2026-06-17 16:54:06,2026-06-17 16:04:25,172.21.54.80,2800-C20,EQP,K11-6F 區網(54),2981
2026-06-17 16:54:06,2026-06-17 16:04:13,172.21.53.49,4600-609,EQP,K11-6F 區網(53),2993
2026-06-17 16:54:06,2026-06-17 16:04:13,172.21.53.51,4600-803,EQP,K11-6F 區網(53),2993
2026-06-17 16:54:06,2026-06-17 16:04:08,172.22.64.160,2770-B09/B10,EQP,K21-9F 區網(64),2998
2026-06-17 16:54:06,2026-06-17 16:04:08,172.22.64.189,2770-B38/B39,EQP,K21-9F 區網(64),2998
2026-06-17 16:54:06,2026-06-17 16:04:08,172.22.64.175,2770-B24/B25,EQP,K21-9F 區網(64),2998
2026-06-17 16:54:06,2026-06-17 16:04:13,172.21.53.65,4730-605,EQP,K11-6F 區網(53),2993
2026-06-17 16:54:06,2026-06-17 16:04:08,172.22.64.185,2770-B34/B35,EQP,K21-9F 區網(64),2998
2026-06-17 16:54:06,2026-06-17 16:04:13,172.21.53.66,4730-606,EQP,K11-6F 區網(53),2993
2026-06-17 16:54:06,2026-06-17 16:04:01,172.21.52.192,3800-L12,EQP,K11-6F 區網(52),3005
2026-06-17 16:54:06,2026-06-17 16:04:08,172.22.64.174,2770-B22/B23,EQP,K21-9F 區網(64),2998
2026-06-17 16:54:06,2026-06-17 16:04:13,172.21.53.68,4730-608,EQP,K11-6F 區網(53),2993
2026-06-17 16:54:06,2026-06-17 16:04:13,172.21.53.62,4730-602,EQP,K11-6F 區網(53),2993
2026-06-17 16:54:06,2026-06-17 16:04:13,172.21.53.20,4800-652,EQP,K11-6F 區網(53),2993
2026-06-17 16:54:06,2026-06-17 16:04:08,172.22.64.46,4600-B02,EQP,K21-9F 區網(64),2998
2026-06-17 16:54:06,2026-06-17 16:04:04,172.25.58.215,2500-TEMPB-2,EQP,K18-11F 區(58),3002
2026-06-17 16:54:06,2026-06-17 16:04:04,172.25.58.214,2500-TEMPB-1,EQP,K18-11F 區(58),3002
2026-06-17 16:54:06,2026-06-17 16:04:04,172.25.58.213,2500-TEMPA-3,EQP,K18-11F 區(58),3002
2026-06-17 16:54:06,2026-06-17 16:04:04,172.25.58.212,2500-TEMPA-2,EQP,K18-11F 區(58),3002
2026-06-17 16:54:06,2026-06-17 16:04:04,172.25.58.211,2500-TEMPA-1,EQP,K18-11F 區(58),3002
2026-06-17 16:54:06,2026-06-17 16:04:04,172.25.58.195,CLEAN-MSTK1_L,EQP,K18-11F 區(58),3002
2026-06-17 16:54:06,2026-06-17 16:04:08,172.22.64.44,4600-B02,EQP,K21-9F 區網(64),2998
2026-06-17 16:54:06,2026-06-17 16:04:13,172.21.53.58,4515-652,EQP,K11-6F 區網(53),2993
2026-06-17 16:54:06,2026-06-17 16:06:15,172.22.106.126,3613-B02,EQP,K22-9F 區網(106),2871
2026-06-17 16:54:06,2026-06-17 16:15:14,172.21.27.109,2880-K09,EQP,K11-3F 區網(27),2332
2026-06-17 16:54:06,2026-06-17 16:04:04,172.25.58.176,WIP-MSTK3910-3,EQP,K18-11F 區(58),3002
2026-06-17 16:54:06,2026-06-17 16:04:08,172.22.64.163,2770-B13/B14,EQP,K21-9F 區網(64),2998
2026-06-17 16:54:06,2026-06-17 16:04:08,172.22.64.43,4600-B01,EQP,K21-9F 區網(64),2998
2026-06-17 16:54:06,2026-06-17 16:04:08,172.22.64.162,2770-B11/B12,EQP,K21-9F 區網(64),2998
2026-06-17 16:54:06,2026-06-17 16:04:08,172.22.64.161,2770-B11/B12,EQP,K21-9F 區網(64),2998
2026-06-17 16:54:06,2026-06-17 16:04:08,172.22.64.188,2770-B36/B37,EQP,K21-9F 區網(64),2998
2026-06-17 16:54:06,2026-06-17 16:04:04,172.25.58.175,WIP-MSTK3910-2,EQP,K18-11F 區(58),3002
2026-06-17 16:54:06,2026-06-17 16:04:13,172.21.53.141,4730-817,EQP,K11-6F 區網(53),2993
2026-06-17 16:54:06,2026-06-17 16:04:08,172.22.64.190,2770-B38/B39,EQP,K21-9F 區網(64),2998
2026-06-17 16:54:06,2026-06-17 16:04:13,172.21.53.140,4730-813,EQP,K11-6F 區網(53),2993
2026-06-17 16:54:06,2026-06-17 16:04:13,172.21.53.139,4730-803,EQP,K11-6F 區網(53),2993
2026-06-17 16:54:06,2026-06-17 16:04:13,172.21.53.136,4730-606,EQP,K11-6F 區網(53),2993
2026-06-17 16:54:06,2026-06-17 16:04:13,172.21.53.131,4730-601,EQP,K11-6F 區網(53),2993
